,stock,indicator,date
0,KOTRA,bollinger-band-breakout,2023-08-13
1,MAYBANK [NS],bollinger-band-breakout,2023-08-13
2,ECOWLD,bollinger-band-breakout,2023-08-13
3,MYEG,bollinger-band-breakout,2023-08-13
4,OIB,bollinger-band-breakout,2023-08-13
5,REXIT [NS],bollinger-band-breakout,2023-08-13
6,WELLCAL,bollinger-band-breakout,2023-08-13
7,YOCB,bollinger-band-breakout,2023-08-13
8,RAPID [NS],bollinger-band-breakout,2023-08-13
9,DKSH,bollinger-band-breakout,2023-08-13
10,JAYCORP,bollinger-band-breakout,2023-08-13
11,UNIMECH,bollinger-band-breakout,2023-08-13
12,CIHLDG,bollinger-band-breakout,2023-08-13
13,BPPLAS,bollinger-band-breakout,2023-08-13
14,FPI,bollinger-band-breakout,2023-08-13
15,SHH,bollinger-band-breakout,2023-08-13
16,TAKAFUL,bollinger-band-breakout,2023-08-13
17,BLDPLNT,bollinger-band-breakout,2023-08-13
18,TGL [NS],bollinger-band-breakout,2023-08-13
19,IOIPG [NS],bollinger-band-breakout,2023-08-13
20,QL,bollinger-band-breakout,2023-08-13
21,PWROOT,bollinger-band-breakout,2023-08-13
22,ATECH,bollinger-band-breakout,2023-08-13
23,KPJ,bollinger-band-breakout,2023-08-13
24,DIALOG,bollinger-band-breakout,2023-08-13
25,MATRIX,bollinger-band-breakout,2023-08-13
26,MIECO,bollinger-band-breakout,2023-08-13
27,ASTINO,bollinger-band-breakout,2023-08-13
28,RALCO,bollinger-band-breakout,2023-08-13
29,CTOS,bollinger-band-breakout,2023-08-13
30,COMCORP,bollinger-band-breakout,2023-08-13
31,KAWAN,bollinger-band-breakout,2023-08-13
32,LBS,bollinger-band-breakout,2023-08-13
33,GREATEC,bollinger-band-breakout,2023-08-13
34,WASCO,bollinger-band-breakout,2023-08-13
35,SPTOTO [NS],bollinger-band-breakout,2023-08-13
36,HEXTECH,bollinger-band-breakout,2023-08-13
37,HUAYANG,bollinger-band-breakout,2023-08-13
38,KOBAY,bollinger-band-breakout,2023-08-13
39,OCK,bollinger-band-breakout,2023-08-13
40,KEINHIN,bollinger-band-breakout,2023-08-13
41,KYM,bollinger-band-breakout,2023-08-13
42,PROPERTIES,bollinger-band-breakout,2023-08-13
43,PMBTECH,bollinger-band-breakout,2023-08-13
44,TIENWAH [NS],bollinger-band-breakout,2023-08-13
45,INFOM,bollinger-band-breakout,2023-08-13
46,DAYANG,bollinger-band-breakout,2023-08-13
47,HPMT,bollinger-band-breakout,2023-08-13
48,CONSTRUCTN,bollinger-band-breakout,2023-08-13
49,FBM70,bollinger-band-breakout,2023-08-13
50,MICROLN,bollinger-band-breakout,2023-08-13
51,MUHIBAH,bollinger-band-breakout,2023-08-13
52,T7GLOBAL,bollinger-band-breakout,2023-08-13
53,SIMEPROP,bollinger-band-breakout,2023-08-13
54,WIDAD,bollinger-band-breakout,2023-08-13
55,OWG,bollinger-band-breakout,2023-08-13
56,DSS,bollinger-band-breakout,2023-08-13
57,GLBHD,bollinger-band-breakout,2023-08-13
58,KAB,bollinger-band-breakout,2023-08-13
59,OWG-WB,bollinger-band-breakout,2023-08-13
60,UNIQUE,bollinger-band-breakout,2023-08-13
61,GFM,bollinger-band-breakout,2023-08-13
62,TCHONG [NS],bollinger-band-breakout,2023-08-13
63,PARKWD,bollinger-band-breakout,2023-08-13
64,CSH [NS],bollinger-band-breakout,2023-08-13
65,FBMMSCS,bollinger-band-breakout,2023-08-13
66,AMFIRST [NS],bollinger-band-breakout,2023-08-13
67,PANAMY [NS],bollinger-band-breakout,2023-08-13
68,SCOMNET-WA,bollinger-band-breakout,2023-08-13
69,MUH,bollinger-band-breakout,2023-08-13
70,ULICORP,bollinger-band-breakout,2023-08-13
71,WILLOW [NS],bollinger-band-breakout,2023-08-13
72,AEM-WB [NS],bollinger-band-breakout,2023-08-13
73,ECOWLD-WB,bollinger-band-breakout,2023-08-13
74,THRIVEN,bollinger-band-breakout,2023-08-13
75,MINHO,bollinger-band-breakout,2023-08-13
76,PASUKGB,bollinger-band-breakout,2023-08-13
77,ARREIT [NS],bollinger-band-breakout,2023-08-13
78,CHEETAH-WA,bollinger-band-breakout,2023-08-13
79,APPASIA,bollinger-band-breakout,2023-08-13
80,EDUSPEC,bollinger-band-breakout,2023-08-13
81,GPACKET,bollinger-band-breakout,2023-08-13
82,EAH [NS],bollinger-band-breakout,2023-08-13
83,MPIRE,bollinger-band-breakout,2023-08-13
84,HOMERIZ-WC,bollinger-band-breakout,2023-08-13
85,PERMAJU,bollinger-band-breakout,2023-08-13
86,WAJA,bollinger-band-breakout,2023-08-13
87,APPASIA-WB,bollinger-band-breakout,2023-08-13
88,OVERSEA-WA [NS],bollinger-band-breakout,2023-08-13
89,NTPM,bollinger-band-breakout,2023-08-13
90,MBRIGHT-WB,bollinger-band-breakout,2023-08-13
91,MTOUCHE-WD [NS],bollinger-band-breakout,2023-08-13
92,SPRING-WA,bollinger-band-breakout,2023-08-13
93,SCC [NS],bollinger-band-breakout,2023-08-13
94,CARIMIN,bollinger-band-breakout,2023-08-13
95,MRDIY,bollinger-band-breakout,2023-08-13
96,UCHITEC,bollinger-band-breakout,2023-08-13
97,AHEALTH,bollinger-band-breakout,2023-08-13
98,KSENG [NS],bollinger-band-breakout,2023-08-13
99,SUNSURIA,bollinger-band-breakout,2023-08-13
100,GASMSIA,bollinger-band-breakout,2023-08-13
101,GLOMAC,bollinger-band-breakout,2023-08-13
102,JCBNEXT [NS],bollinger-band-breakout,2023-08-13
103,CWG,bollinger-band-breakout,2023-08-13
104,SENTRAL [NS],bollinger-band-breakout,2023-08-13
105,EMETALL,bollinger-band-breakout,2023-08-13
106,UMC,bollinger-band-breakout,2023-08-13
107,IHH,bollinger-band-breakout,2023-08-13
108,ITMAX,bollinger-band-breakout,2023-08-13
109,DRBHCOM,bollinger-band-breakout,2023-08-13
110,IJM,bollinger-band-breakout,2023-08-13
111,PIE,bollinger-band-breakout,2023-08-13
112,GCE,bollinger-band-breakout,2023-08-13
113,HUPSENG,bollinger-band-breakout,2023-08-13
114,KEYASIC,bollinger-band-breakout,2023-08-13
115,RGB [NS],bollinger-band-breakout,2023-08-13
116,CHUAN,bollinger-band-breakout,2023-08-13
117,MKLAND,bollinger-band-breakout,2023-08-13
118,INNITY [NS],bollinger-band-breakout,2023-08-13
119,PARKSON,bollinger-band-breakout,2023-08-13
120,SAUDEE,bollinger-band-breakout,2023-08-13
121,SCGBHD-WA,bollinger-band-breakout,2023-08-13
122,S&FCAP,bollinger-band-breakout,2023-08-13
123,PMCORP [NS],bollinger-band-breakout,2023-08-13
124,S&FCAP-WC,bollinger-band-breakout,2023-08-13
125,LFECORP [NS],bollinger-band-breakout,2023-08-13
126,ACME,bollinger-band-breakout,2023-08-13
127,MQTECH,bollinger-band-breakout,2023-08-13
128,PENTA,bollinger-band-breakout,2023-08-13
129,BURSA,bollinger-band-breakout,2023-08-13
130,KPPROP,bollinger-band-breakout,2023-08-13
131,TENAGA,bollinger-band-breakout,2023-08-13
132,MAHSING,bollinger-band-breakout,2023-08-13
133,UMW,bollinger-band-breakout,2023-08-13
134,BAHVEST,bollinger-band-breakout,2023-08-13
135,AMEREIT,bollinger-band-breakout,2023-08-13
136,BOILERM,bollinger-band-breakout,2023-08-13
137,FBMKLCI-EA,bollinger-band-breakout,2023-08-13
138,TRANSPORTATION & LOGISTICS,bollinger-band-breakout,2023-08-13
139,SWIFT,bollinger-band-breakout,2023-08-13
140,GENM [NS],bollinger-band-breakout,2023-08-13
141,ARTRONIQ,bollinger-band-breakout,2023-08-13
142,METFUS50,bollinger-band-breakout,2023-08-13
143,K1,bollinger-band-breakout,2023-08-13
144,PLS,bollinger-band-breakout,2023-08-13
145,HWGB,bollinger-band-breakout,2023-08-13
146,M&A [NS],bollinger-band-breakout,2023-08-13
147,FBMEMAS,bollinger-band-breakout,2023-08-13
148,STELLA,bollinger-band-breakout,2023-08-13
149,FBMT100,bollinger-band-breakout,2023-08-13
150,COMPUGT,bollinger-band-breakout,2023-08-13
151,IQZAN,bollinger-band-breakout,2023-08-13
152,MPIRE-WB,bollinger-band-breakout,2023-08-13
153,CONSUMER,bollinger-band-breakout,2023-08-13
154,SCIENTX,bollinger-band-breakout,2023-08-13
155,ABLEGLOB,bollinger-band-breakout,2023-08-13
156,HARBOUR,bollinger-band-breakout,2023-08-13
157,FACBIND [NS],bollinger-band-breakout,2023-08-13
158,ARK,bollinger-band-breakout,2023-08-13
159,M&G,bollinger-band-breakout,2023-08-13
160,DFX [NS],bollinger-band-breakout,2023-08-13
161,MESTRON,bollinger-band-breakout,2023-08-13
162,CSCENIC,bollinger-band-breakout,2023-08-13
163,GENTING [NS],bollinger-band-breakout,2023-08-13
164,HARNLEN-WB,bollinger-band-breakout,2023-08-13
165,HIL,bollinger-band-breakout,2023-08-13
166,MAGNUM [NS],bollinger-band-breakout,2023-08-13
167,BAHVEST-WA,bollinger-band-breakout,2023-08-13
168,OPTIMAX-WA,bollinger-band-breakout,2023-08-13
169,LOTUS,bollinger-band-breakout,2023-08-13
170,KIALIM,bollinger-band-breakout,2023-08-13
171,TNLOGIS,bollinger-band-breakout,2023-08-13
172,WCT,bollinger-band-breakout,2023-08-13
173,KIMLUN-WA,bollinger-band-breakout,2023-08-13
174,SPSETIA,bollinger-band-breakout,2023-08-13
175,UEMS,bollinger-band-breakout,2023-08-13
176,F4GBM,bollinger-band-breakout,2023-08-13
177,EUPE,bollinger-band-breakout,2023-08-13
178,LOTUS-WB,bollinger-band-breakout,2023-08-13
179,JADI,bollinger-band-breakout,2023-08-13
180,CSCENIC-WA,bollinger-band-breakout,2023-08-13
181,KSL,bollinger-band-breakout,2023-08-13
182,HIBISCS,bollinger-band-breakout,2023-08-13
183,SLVEST,bollinger-band-breakout,2023-08-13
184,BIPORT,bollinger-band-breakout,2023-08-13
185,BPLANT,bollinger-band-breakout,2023-08-13
186,SALCON,bollinger-band-breakout,2023-08-13
187,PEKAT,bollinger-band-breakout,2023-08-13
188,MBRIGHT,bollinger-band-breakout,2023-08-13
189,UMSNGB,bollinger-band-breakout,2023-08-13
190,PESTECH-WA,bollinger-band-breakout,2023-08-13
191,IWCITY,bollinger-band-breakout,2023-08-13
192,PERDANA,bollinger-band-breakout,2023-08-13
193,SAPNRG-WA,bollinger-band-breakout,2023-08-13
194,CLOUDPT,all-time-high,2023-08-13
195,RAPID [NS],all-time-high,2023-08-13
196,HUAYANG-WA,all-time-high,2023-08-13
