,Name,Code,LACP,date
0,CLASSITA [S],7154,0.19,2023-07-22
1,MRCB [S],1651,0.355,2023-07-22
2,UEMS [S],5148,0.45,2023-07-22
3,ARMADA,5210,0.515,2023-07-22
4,TOPGLOV [S],7113,0.9,2023-07-22
5,XOX [S],0165,0.015,2023-07-22
6,HSI-HK9,0651K9,0.1,2023-07-22
7,SCIB [S],9237,0.435,2023-07-22
8,HSI-CO3,0651O3,0.175,2023-07-22
9,KOMARK [S],7017,0.05,2023-07-22
10,EKOVEST [S],8877,0.395,2023-07-22
11,MRCB-WB [S],1651WB,0.06,2023-07-22
12,DNEX [S],4456,0.49,2023-07-22
13,JAKS [S],4723,0.205,2023-07-22
14,DESTINI [S],7212,0.08,2023-07-22
15,JETSON [S],9083,0.26,2023-07-22
16,INARI [S],0166,3.09,2023-07-22
17,MYEG [S],0138,0.745,2023-07-22
18,WIDAD [S],0162,0.42,2023-07-22
19,RGB,0037,0.35,2023-07-22
20,KNM,7164,0.075,2023-07-22
21,TANCO [S],2429,0.56,2023-07-22
22,YTL,4677,1.12,2023-07-22
23,MBSB [S],1171,0.82,2023-07-22
24,CLASSITA-WC [S],7154WC,0.025,2023-07-22
25,SPSETIA [S],8664,0.635,2023-07-22
26,SMRT [S],0117,0.7,2023-07-22
27,VINVEST [S],0069,0.075,2023-07-22
28,YTLPOWR,6742,1.29,2023-07-22
29,SCOMIES [S],7045,0.005,2023-07-22
30,DCHCARE,0283,0.45,2023-07-22
31,HSI-CO2,0651O2,0.215,2023-07-22
32,ASB,1481,0.17,2023-07-22
33,BAHVEST [S],0098,0.31,2023-07-22
34,KAB [S],0193,0.315,2023-07-22
35,TANCO-WC [S],2429WC,0.24,2023-07-22
36,ESAFE [S],0190,0.23,2023-07-22
37,NATGATE [S],0270,1.63,2023-07-22
38,RADIUM [S],5313,0.355,2023-07-22
39,TAWIN [S],7097,0.05,2023-07-22
40,CIMB,1023,5.22,2023-07-22
41,PESTECH [S],5219,0.305,2023-07-22
42,VELESTO [S],5243,0.225,2023-07-22
43,ASIAPAC [S],4057,0.105,2023-07-22
44,AURO [S],5025,0.17,2023-07-22
45,NAIM [S],5073,0.84,2023-07-22
46,PWRWELL [S],0217,0.225,2023-07-22
47,JSB [S],5673,0.98,2023-07-22
48,MRCB-C87,165187,0.05,2023-07-22
49,EDELTEQ [S],0278,0.64,2023-07-22
