,Name,Code,LACP,date
0,CLASSITA [S],7154,0.19,2023-07-22
1,MRCB [S],1651,0.355,2023-07-22
2,UEMS [S],5148,0.45,2023-07-22
3,ARMADA,5210,0.515,2023-07-22
4,TOPGLOV [S],7113,0.9,2023-07-22
5,XOX [S],0165,0.015,2023-07-22
6,HSI-HK9,0651K9,0.1,2023-07-22
7,SCIB [S],9237,0.435,2023-07-22
8,HSI-CO3,0651O3,0.175,2023-07-22
9,KOMARK [S],7017,0.05,2023-07-22
10,EKOVEST [S],8877,0.395,2023-07-22
11,MRCB-WB [S],1651WB,0.06,2023-07-22
12,DNEX [S],4456,0.49,2023-07-22
13,JAKS [S],4723,0.205,2023-07-22
14,DESTINI [S],7212,0.08,2023-07-22
15,JETSON [S],9083,0.26,2023-07-22
16,INARI [S],0166,3.09,2023-07-22
17,MYEG [S],0138,0.745,2023-07-22
18,WIDAD [S],0162,0.42,2023-07-22
19,RGB,0037,0.35,2023-07-22
20,KNM,7164,0.075,2023-07-22
21,TANCO [S],2429,0.56,2023-07-22
22,YTL,4677,1.12,2023-07-22
23,MBSB [S],1171,0.82,2023-07-22
24,CLASSITA-WC [S],7154WC,0.025,2023-07-22
25,SPSETIA [S],8664,0.635,2023-07-22
26,SMRT [S],0117,0.7,2023-07-22
27,VINVEST [S],0069,0.075,2023-07-22
28,YTLPOWR,6742,1.29,2023-07-22
29,SCOMIES [S],7045,0.005,2023-07-22
30,DCHCARE,0283,0.45,2023-07-22
31,HSI-CO2,0651O2,0.215,2023-07-22
32,ASB,1481,0.17,2023-07-22
33,BAHVEST [S],0098,0.31,2023-07-22
34,KAB [S],0193,0.315,2023-07-22
35,TANCO-WC [S],2429WC,0.24,2023-07-22
36,ESAFE [S],0190,0.23,2023-07-22
37,NATGATE [S],0270,1.63,2023-07-22
38,RADIUM [S],5313,0.355,2023-07-22
39,TAWIN [S],7097,0.05,2023-07-22
40,CIMB,1023,5.22,2023-07-22
41,PESTECH [S],5219,0.305,2023-07-22
42,VELESTO [S],5243,0.225,2023-07-22
43,ASIAPAC [S],4057,0.105,2023-07-22
44,AURO [S],5025,0.17,2023-07-22
45,NAIM [S],5073,0.84,2023-07-22
46,PWRWELL [S],0217,0.225,2023-07-22
47,JSB [S],5673,0.98,2023-07-22
48,MRCB-C87,165187,0.05,2023-07-22
49,EDELTEQ [S],0278,0.64,2023-07-22
0,MSTGOLF [S],5316,0.78,2023-07-22
1,HSI-HNU,0651NU,0.255,2023-07-22
2,MINDA [S],5166,0.12,2023-07-22
3,CFM,8044,0.18,2023-07-22
4,IWCITY [S],1589,0.395,2023-07-22
5,CAPITALA [S],5099,0.835,2023-07-22
6,PMHLDG [S],1287,0.065,2023-07-22
7,SIMEPROP [S],5288,0.585,2023-07-22
8,BPURI [S],5932,0.04,2023-07-22
9,IRIS [S],0010,0.09,2023-07-22
10,HIBISCS [S],5199,0.91,2023-07-22
11,GTRONIC [S],7022,1.6,2023-07-22
12,MUIIND,3891,0.06,2023-07-22
13,BPLANT [S],5254,1.06,2023-07-22
14,HARTA [S],5168,2.0,2023-07-22
15,CYPARK [S],5184,0.855,2023-07-22
16,BJFOOD [S],5196,0.71,2023-07-22
17,ECONBHD [S],5253,0.215,2023-07-22
18,JTIASA [S],4383,0.705,2023-07-22
19,BAHVEST-WA [S],0098WA,0.04,2023-07-22
20,CLOUDPT [S],0277,0.535,2023-07-22
21,MINETEC [S],7219,0.055,2023-07-22
22,TECHNAX [S],2739,0.02,2023-07-22
23,UEMS-C82,514882,0.33,2023-07-22
24,ARMADA-C78,521078,0.035,2023-07-22
25,ARTRONIQ [S],0038,0.77,2023-07-22
26,M&G [S],5078,0.185,2023-07-22
27,EKOVEST-C39,887739,0.055,2023-07-22
28,SKYWLD [S],5315,0.715,2023-07-22
29,HSI-COW,0651OW,0.115,2023-07-22
30,YEWLEE [S],0248,0.365,2023-07-22
31,NYLEX [S],4944,0.49,2023-07-22
32,DXN [S],5318,0.71,2023-07-22
33,PBBANK,1295,3.97,2023-07-22
34,HARNLEN [S],7501,0.735,2023-07-22
35,SAPNRG [S],5218,0.035,2023-07-22
36,LBICAP-WB [S],8494WB,0.095,2023-07-22
37,GTRONIC-C26,702226,0.16,2023-07-22
38,BJCORP,3395,0.31,2023-07-22
39,TSH [S],9059,0.975,2023-07-22
40,GBGAQRS [S],5226,0.305,2023-07-22
41,PTRB [S],0260,0.54,2023-07-22
42,CATCHA,0173,0.44,2023-07-22
43,VS [S],6963,0.88,2023-07-22
44,SMETRIC [S],0203,0.135,2023-07-22
45,MAYBANK,1155,8.8,2023-07-22
46,TDM [S],2054,0.185,2023-07-22
47,ASTRO,6399,0.53,2023-07-22
48,CAREPLS [S],0163,0.29,2023-07-22
49,L&G [S],3174,0.12,2023-07-22
